| Engine Specification           | Prisma Field            | Model                               | Vendor Evidence | Schema Support | Notes                                         |
| ------------------------------ | ----------------------- | ----------------------------------- | --------------- | -------------- | --------------------------------------------- |
| `entropy_anomalies_count`      | `entropyAnomaliesCount` | `BatteryInspection`                 | Low             | Representable  | No explicit EntroDiag evidence yet            |
| `temperature_history_max_c`    | `tempMaxC`              | `BatteryInspection`                 | Medium          | Representable  | Inferable from telemetry arrays               |
| `ir_imbalance_ratio`           | `irImbalanceRatio`      | `BatteryInspection`                 | Medium          | Representable  | Inferable from RI metrics                     |
| `voltage_imbalance_mv`         | `voltageImbalanceMv`    | `BatteryInspection`                 | High            | Representable  | Strong match to ΔOCV metric                   |
| `soh_nominal`                  | `sohPct`                | `BatteryInspection`                 | High            | Representable  | Direct SOH correspondence                     |
| `soh_confidence_low`           | NONE                    | NONE                                | None            | Missing        | No vendor evidence                            |
| `soh_confidence_high`          | NONE                    | NONE                                | None            | Missing        | No vendor evidence                            |
| `cycle_count_estimate`         | `cycleCount`            | `BatteryInspection`                 | Medium          | Representable  | Common BMS metric but not explicitly verified |
| `degradation_mode`             | NONE                    | NONE                                | None            | Missing        | No observed equivalent                        |
| `remaining_useful_life_months` | `rulMonths`             | `BatteryInspection`                 | Low             | Representable  | RUL not publicly verified                     |
| `chemistry`                    | `chemistry`             | `BatteryPack`                       | High            | Representable  | Explicitly observed                           |
| `cycle_cap`                    | `cycleCap`              | `PathwayFactor`                     | None            | Internal-only  | Admin/business rule, not vendor output        |
| `age_years`                    | Derived from dates      | `BatteryPack` + `BatteryInspection` | Medium          | Derivable      | Better computed dynamically                   |
| `damage_score`                 | `damageScore`           | `BatteryInspection`                 | None            | Internal-only  | Layer 1 engine-derived metric                 |
| `capacity_kWh`                 | `nominalCapacityKwh`    | `BatteryPack`                       | High            | Representable  | Explicitly observed                           |
| `weight_kg`                    | `weightKg`              | `BatteryPack`                       | Low             | Representable  | Assumed metadata field                        |
